{ 02 E0 97 18 6D 0C 00 00 1E 00 }, Delta:8.073ms, Position:[6295,3181], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 95 18 6F 0C 00 00 1E 00 }, Delta:8.028ms, Position:[6293,3183], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 93 18 6F 0C 00 00 1E 00 }, Delta:6.516ms, Position:[6291,3183], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 92 18 6F 0C 00 00 1E 00 }, Delta:7.722ms, Position:[6290,3183], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 91 18 6E 0C 00 00 1E 00 }, Delta:9.267ms, Position:[6289,3182], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 91 18 6C 0C 00 00 1E 00 }, Delta:6.638ms, Position:[6289,3180], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 90 18 6A 0C 00 00 1E 00 }, Delta:9.683ms, Position:[6288,3178], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 8F 18 67 0C 00 00 1E 00 }, Delta:4.072ms, Position:[6287,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 8D 18 67 0C 00 00 1E 00 }, Delta:7.970ms, Position:[6285,3175], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 8A 18 64 0C 00 00 1D 00 }, Delta:8.197ms, Position:[6282,3172], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 86 18 63 0C 00 00 1E 00 }, Delta:6.050ms, Position:[6278,3171], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 82 18 62 0C 00 00 1D 00 }, Delta:7.783ms, Position:[6274,3170], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
{ 02 E0 80 18 5F 0C 00 00 1E 00 }, Delta:8.087ms, Position:[6272,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 78 18 5F 0C 00 00 1E 00 }, Delta:7.568ms, Position:[6264,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 70 18 5F 0C 00 00 1E 00 }, Delta:6.448ms, Position:[6256,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:30, ReportType:IntuosTabletReport
{ 02 E0 60 18 5F 0C 00 00 1D 00 }, Delta:10.499ms, Position:[6240,3167], Pressure:0, PenButtons:[False False], Eraser:False, NearProximity:True, HoverDistance:29, ReportType:IntuosTabletReport
